artists
IAM
Lunatic
Suprême NTM
Oxmo Puccino
Booba
Shurik’n
Doc Gynéco
OrelSan
Klub des Loosers
Stupeflip
Ärsenik
MC Solaar
Hugo TSR
La Rumeur
Fabe
Akhenaton
Fonky Family
Keny Arkana
PNL
Ideal J
Alpha Wann
Nekfeu
Casseurs Flowters
Lomepal
Odezenne
ATK
Damso
Scred Connexion
Les X
Kheops
Assassin
Kaaris
Sniper
Vald
Laylow
La Caution
Youssoupha
113
Saïan Supa Crew
Les Sages Poètes de la Rue
TTC
Lino
Lucio Bukowski
Nestor Kéa
Disiz
Svinkels
Scylla
Hocus Pocus
SCH
Vîrus
2 Bal 2 Neg
Gaël Faye
Milk Coffee & Sugar
Busta Flex
Ibeyi
Kery James
Ill
Bigflo & Oli
Jazzy Bazz
Dooz Kawa
Diam’s
Bumblefoot
Rocca
KeyDJ
Nakk Mendosa
Columbine
Mafia K’1 Fry
Kaza
Freeze Corleone
Alkpote
MRC
Jul
Niska
Lacrim
Ninho
PLK
Sofiane
Rohff
Médine
Guizmo
4Keus
